# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.007,0.398,39.804,0.398,39.804,0,0,0,0,0,0,28.61,-80.6,9.792,80.191,0,0,0,454.234,59.897,0.016,2.031e-4,NaN,15.861,NaN,0.007,1.143e5,22.529,8.04e-5,0.619,0.007,0.336,0.162,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.096e-5,2.6,34.253,90,0,2.302,15,1013.25,340.389,0.01,0.003
0.02,0.037,1.435,103.684,1.435,103.684,0,0,0,0,0,0,28.61,-80.6,9.792,57.906,0,0,0,453.996,59.658,0.016,2.031e-4,NaN,15.855,NaN,0.008,1.321e5,51.521,0.003,0.613,0.182,0.331,0.162,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.837e-4,2.6,34.253,90,0,2.287,15,1013.249,340.389,0.01,0.003
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.102,2.557,112.253,2.557,112.253,0,0,0,0,0,0,28.61,-80.6,9.792,41.636,0,0,0,453.738,59.401,0.016,2.031e-4,NaN,15.849,NaN,0.01,1.674e5,55.388,0.011,0.606,0.461,0.323,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.274e-4,2.6,34.253,90,0,2.273,15,1013.246,340.389,0.01,0.004
0.04,0.205,3.71,115.371,3.71,115.371,0,0,0,0,0,0,28.61,-80.6,9.792,31.329,0,0,0,453.481,59.144,0.016,2.031e-4,NaN,15.843,NaN,0.013,2.126e5,56.785,0.026,0.604,0.647,0.321,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.751e-4,2.6,34.253,90,0,2.259,15,1013.243,340.389,0.01,0.004
0.05,0.346,4.893,118.297,4.893,118.297,0,0,0,0,0,0,28.61,-80.6,9.792,24.637,0,0,0,453.22,58.882,0.015,2.03e-4,NaN,15.836,NaN,0.016,2.634e5,58.097,0.045,0.602,0.738,0.319,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.265e-4,2.6,34.253,90,0,2.244,14.999,1013.238,340.388,0.01,0.005
0.06,0.526,6.088,119.507,6.088,119.507,0,0,0,0,0,0,28.61,-80.6,9.792,20.022,0,0,0,452.95,58.613,0.015,2.03e-4,NaN,15.829,NaN,0.019,3.171e5,58.634,0.068,0.601,0.773,0.318,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.795e-4,2.6,34.253,90,0,2.219,14.999,1013.231,340.388,0.01,0.005
0.07,0.746,7.291,120.294,7.291,120.294,0,0,0,0,0,0,28.61,-80.6,9.792,16.741,0,0,0,452.681,58.344,0.015,2.03e-4,NaN,15.823,NaN,0.022,3.726e5,58.983,0.095,0.6,0.779,0.317,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.335e-4,2.6,34.253,90,0,2.193,14.999,1013.223,340.388,0.01,0.006
0.08,1.005,8.502,121.068,8.502,121.068,0,0,0,0,0,0,28.61,-80.6,9.792,14.303,0,0,0,452.412,58.075,0.015,2.03e-4,NaN,15.816,NaN,0.026,4.294e5,59.327,0.124,0.599,0.766,0.316,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.168,14.998,1013.214,340.388,0.01,0.006
0.09,1.303,9.709,120.754,9.709,120.754,0,0,0,0,0,0,28.61,-80.6,9.792,12.441,0,0,0,452.143,57.805,0.015,2.03e-4,NaN,15.809,NaN,0.029,4.866e5,59.18,0.155,0.598,0.746,0.315,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.142,14.997,1013.203,340.387,0.01,0.007
0.1,1.642,10.906,119.69,10.906,119.69,0,0,0,0,0,0,28.61,-80.6,9.792,10.983,0,0,0,451.873,57.536,0.015,2.029e-4,NaN,15.802,NaN,0.033,5.437e5,58.697,0.188,0.597,0.725,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,2.6,34.253,90,0,2.117,14.997,1013.191,340.387,0.01,0.007
0.11,2.019,12.093,118.666,12.093,118.666,0,0,0,0,0,0,28.61,-80.6,9.792,9.89,0,0,0,451.608,57.271,0.015,2.029e-4,NaN,15.796,NaN,0.036,6.007e5,58.237,0.224,0.597,0.708,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.108,14.996,1013.178,340.386,0.01,0.008
0.12,2.435,13.271,117.778,13.271,117.778,0,0,0,0,0,0,28.61,-80.6,9.792,8.993,0,0,0,451.344,57.006,0.015,2.029e-4,NaN,15.789,NaN,0.039,6.575e5,57.841,0.263,0.597,0.694,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.1,14.995,1013.163,340.386,0.01,0.008
0.13,2.889,14.44,116.891,14.44,116.891,0,0,0,0,0,0,28.61,-80.6,9.792,8.244,0,0,0,451.08,56.742,0.015,2.029e-4,NaN,15.782,NaN,0.043,7.14e5,57.449,0.305,0.597,0.683,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.092,14.994,1013.147,340.385,0.01,0.009
0.14,3.382,15.599,115.964,15.599,115.964,0,0,0,0,0,0,28.61,-80.6,9.792,7.609,0,0,0,450.822,56.485,0.015,2.029e-4,NaN,15.776,NaN,0.046,7.701e5,57.043,0.35,0.597,0.673,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.084,14.993,1013.129,340.385,0.01,0.009
0.15,3.913,16.749,115,16.749,115,0,0,0,0,0,0,28.61,-80.6,9.792,7.064,0,0,0,450.564,56.227,0.015,2.029e-4,NaN,15.769,NaN,0.05,8.259e5,56.624,0.397,0.597,0.664,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.076,14.992,1013.11,340.384,0.01,0.01
0.16,4.481,17.89,114.029,17.89,114.029,0,0,0,0,0,0,28.61,-80.6,9.792,6.542,0,0,0,450.306,55.969,0.015,2.028e-4,NaN,15.763,NaN,0.053,8.811e5,56.204,0.447,0.597,0.657,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.052,14.991,1013.09,340.384,0.01,0.01
0.17,5.087,19.021,113.052,19.021,113.052,0,0,0,0,0,0,28.61,-80.6,9.792,6.084,0,0,0,450.049,55.711,0.015,2.028e-4,NaN,15.756,NaN,0.056,9.36e5,55.785,0.499,0.597,0.65,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,2.6,34.253,90,0,2.027,14.99,1013.068,340.383,0.01,0.011
0.18,5.704,20.1,112.181,20.1,112.181,0,0,0,0,0,0,28.61,-80.6,9.792,5.695,0,0,0,449.807,55.47,0.015,2.028e-4,NaN,15.75,NaN,0.059,9.884e5,55.416,0.552,0.598,0.644,0.314,0.163,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,2.6,34.253,90,0,2.004,14.989,1013.046,340.382,0.01,0.011
# Event LAUNCHROD occurred at t=0.189 seconds
0.189,6.319,21.115,111.541,21.115,111.541,0,0,0,0,0,0,28.61,-80.6,9.792,5.364,0,0,0,449.58,55.243,0.015,2.028e-4,NaN,15.745,NaN,0.062,1.038e6,55.153,0.604,0.598,0.64,0.314,0.163,0.121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.003,2.6,34.253,90,0,1.982,14.987,1013.024,340.381,0.009,0.012
0.202,7.298,22.627,110.747,22.627,110.759,-5.021e-4,0,5.021e-4,180,0.022,1.629,28.61,-80.6,9.792,4.878,0,4.062,-4.741e-4,449.239,54.902,0.015,2.028e-4,19.947,15.736,1.62,0.067,1.111e6,54.836,0.686,0.598,0.634,0.314,0.163,0.121,0.699,1.132,-3.02e-4,0,0,0,0,7.966e-4,0.003,2.6,34.253,89.972,0.012,1.964,14.986,1012.989,340.38,0.014,0.012
0.215,8.3,24.064,109.82,24.064,109.831,-0.002,8.323e-9,0.002,180,0.043,1.549,28.61,-80.6,9.792,4.575,0,8.197,-0.001,448.913,54.575,0.015,2.027e-4,19.991,15.728,1.64,0.071,1.181e6,54.464,0.77,0.598,0.63,0.314,0.163,0.121,0.65,1.064,-4.322e-4,0,0,0,0,0.003,0.003,2.6,34.253,89.892,0.008,2.015,14.984,1012.953,340.379,0.013,0.013
0.228,9.297,25.404,108.933,25.404,108.942,-0.004,3.071e-8,0.004,180,0.061,1.345,28.61,-80.6,9.792,4.269,2.901e-7,12.285,-0.002,448.606,54.269,0.015,2.027e-4,20.036,15.72,1.66,0.075,1.247e6,54.111,0.853,0.598,0.626,0.314,0.163,0.121,0.601,0.992,-1.728e-5,0,0,0,0,0.006,0.003,2.6,34.253,89.767,0.006,2.062,14.982,1012.918,340.378,0.012,0.013
0.24,10.306,26.681,108.081,26.681,108.086,-0.007,7.986e-8,0.007,179.999,0.075,1.023,28.61,-80.6,9.792,3.953,-1.733e-6,16.335,-0.003,448.315,53.978,0.015,2.027e-4,20.083,15.713,1.681,0.079,1.309e6,53.775,0.935,0.598,0.623,0.314,0.164,0.121,0.552,0.918,-9.097e-5,0,0,0,0,0.009,0.003,2.6,34.253,89.598,0.006,2.107,14.98,1012.882,340.377,0.012,0.014
0.251,11.342,27.921,107.228,27.921,107.23,-0.01,1.745e-7,0.01,179.999,0.085,0.579,28.61,-80.6,9.792,3.611,-2.303e-6,20.347,-0.003,448.038,53.701,0.015,2.027e-4,20.135,15.705,1.704,0.082,1.37e6,53.442,1.018,0.598,0.619,0.314,0.164,0.121,0.499,0.837,-2.673e-4,0,0,0,0,0.013,0.004,2.6,34.253,89.386,0.006,2.148,14.978,1012.845,340.375,0.012,0.014
0.263,12.425,29.152,106.373,29.152,106.373,-0.013,3.393e-7,0.013,179.999,0.088,0.036,28.61,-80.6,9.792,3.172,1.159e-5,24.262,-1.641e-4,447.76,53.423,0.015,2.027e-4,20.204,15.698,1.733,0.086,1.43e6,53.11,1.102,0.599,0.615,0.314,0.164,0.121,0.432,0.732,1.523e-4,0,0,0,0,0.017,0.004,2.6,34.253,89.128,0.006,2.149,14.975,1012.806,340.374,0.012,0.015
0.275,13.609,30.43,105.483,30.431,105.486,-0.016,6.121e-7,0.016,179.998,0.083,0.81,28.61,-80.6,9.792,2.697,-1.361e-5,28.112,-0.005,447.47,53.132,0.015,2.026e-4,20.28,15.691,1.765,0.09,1.492e6,52.771,1.192,0.599,0.611,0.314,0.164,0.121,0.362,0.618,-3.063e-4,0,0,0,0,0.021,0.004,2.6,34.253,88.81,0.005,2.151,14.973,1012.764,340.373,0.012,0.016
0.288,14.951,31.806,104.513,31.806,104.529,-0.02,1.04e-6,0.02,179.997,0.066,1.792,28.61,-80.6,9.792,2.168,-2.39e-6,31.864,-0.006,447.154,52.817,0.015,2.026e-4,20.369,15.683,1.802,0.094,1.559e6,52.408,1.293,0.599,0.607,0.314,0.164,0.121,0.286,0.491,-8.74e-5,0,0,0,0,0.025,0.004,2.6,34.253,88.415,0.005,2.152,14.97,1012.716,340.371,0.013,0.016
0.303,16.571,33.374,103.394,33.374,103.44,-0.022,1.751e-6,0.022,179.995,0.03,3.077,28.61,-80.6,9.792,1.556,1.409e-5,35.43,-0.008,446.79,52.453,0.015,2.026e-4,20.475,15.674,1.847,0.098,1.636e6,52.002,1.415,0.599,0.603,0.314,0.164,0.121,0.202,0.344,-3.982e-4,0,0,0,0,0.028,0.004,2.6,34.253,87.904,0.005,2.159,14.967,1012.658,340.369,0.015,0.017
0.323,18.779,35.374,101.955,35.374,102.073,-0.022,3.174e-6,0.022,179.992,0.048,4.903,28.61,-80.6,9.792,0.8,2.729e-5,38.544,-0.009,446.322,51.984,0.015,2.026e-4,20.612,15.662,1.904,0.104,1.734e6,51.505,1.583,0.6,0.601,0.314,0.164,0.121,0.101,0.163,-4.306e-4,0,0,0,0,0.029,0.005,2.6,34.253,87.177,0.005,2.19,14.963,1012.579,340.366,0.02,0.017
0.352,22.331,38.328,100.196,38.329,100.504,-0.009,6.741e-6,0.009,179.957,0.235,7.862,28.61,-80.6,9.792,0.285,-1.332e-4,-39.199,-0.007,445.638,51.301,0.015,2.025e-4,20.711,15.644,1.949,0.113,1.879e6,50.997,1.857,0.6,0.6,0.314,0.165,0.122,0.035,0.095,-1.963e-4,0,0,0,0,-0.026,0.005,2.6,34.253,86.023,0.004,2.229,14.956,1012.452,340.362,0.029,0.018
0.396,28.185,42.634,97.044,42.64,97.787,0.055,1.635e-5,0.055,0.017,0.679,12.03,28.61,-80.6,9.792,1.661,4.141e-4,-28.44,-0.026,444.626,50.289,0.015,2.024e-4,20.462,15.618,1.863,0.126,2.089e6,50.114,2.318,0.601,0.606,0.314,0.165,0.122,0.216,0.413,9.243e-5,0,0,0,0,-0.011,0.005,2.6,34.253,84.491,0.005,2.134,14.944,1012.243,340.355,0.044,0.018
0.406,29.524,43.547,96.414,43.554,97.284,0.078,1.954e-5,0.078,0.014,0.798,12.979,28.61,-80.6,9.792,1.927,3.121e-5,-23.725,-0.005,444.41,50.073,0.015,2.024e-4,20.416,15.612,1.848,0.128,2.135e6,49.966,2.427,0.601,0.608,0.314,0.165,0.122,0.253,0.475,4.118e-4,0,0,0,0,-0.007,0.006,2.6,34.253,84.246,0.004,2.115,14.942,1012.195,340.353,0.009,0.019
0.414,30.709,44.339,96.331,44.348,97.28,0.101,2.26e-5,0.101,0.013,0.907,13.557,28.61,-80.6,9.792,2.055,2.174e-5,-19.522,-0.003,444.224,49.887,0.015,2.024e-4,20.395,15.607,1.841,0.131,2.173e6,50.032,2.52,0.601,0.609,0.314,0.166,0.122,0.271,0.503,-3.482e-4,0,0,0,0,-0.005,0.006,2.6,34.253,84.068,0.004,2.098,14.939,1012.152,340.352,0.008,0.019
0.421,31.805,45.049,94.853,45.06,95.857,0.124,2.563e-5,0.124,0.012,1.009,13.84,28.61,-80.6,9.792,2.137,2.392e-5,-15.364,-0.004,444.055,49.718,0.015,2.024e-4,20.382,15.603,1.838,0.133,2.208e6,49.462,2.604,0.602,0.609,0.314,0.166,0.122,0.282,0.522,4.948e-4,0,0,0,0,-0.003,0.006,2.6,34.253,83.937,0.004,2.082,14.937,1012.113,340.351,0.007,0.019
0.428,32.843,45.701,93.45,45.714,94.494,0.148,2.866e-5,0.148,0.011,1.106,14.007,28.61,-80.6,9.792,2.183,2.274e-5,-11.261,-0.002,443.898,49.561,0.015,2.024e-4,20.374,15.599,1.837,0.135,2.24e6,48.914,2.683,0.602,0.61,0.314,0.166,0.122,0.289,0.532,-4.865e-4,0,0,0,0,-0.002,0.006,2.6,34.253,83.844,0.004,2.068,14.935,1012.076,340.349,0.007,0.02
0.435,33.846,46.317,92.556,46.332,93.627,0.174,3.172e-5,0.174,0.01,1.199,14.125,28.61,-80.6,9.792,2.199,2.551e-5,-7.19,-0.005,443.752,49.414,0.015,2.024e-4,20.372,15.595,1.837,0.136,2.27e6,48.586,2.757,0.602,0.61,0.314,0.166,0.122,0.291,0.535,-1.964e-4,0,0,0,0,-5.97e-4,0.006,2.6,34.253,83.783,0.004,2.054,14.933,1012.04,340.348,0.007,0.02
0.441,34.827,46.906,91.841,46.924,92.927,0.2,3.485e-5,0.2,0.01,1.29,14.169,28.61,-80.6,9.792,2.188,2.323e-5,-3.144,-9.707e-4,443.61,49.273,0.015,2.024e-4,20.374,15.592,1.839,0.138,2.299e6,48.33,2.828,0.602,0.61,0.314,0.166,0.122,0.29,0.533,-2.798e-4,0,0,0,0,-1.113e-4,0.006,2.6,34.253,83.75,0.004,2.041,14.931,1012.005,340.347,0.006,0.021
